sample,t_iso,elapsed_s,v1_set,v1,i1,p_in_w,v2,i2_raw,i_chg,v_bat,p_bat_w,ah_cum,wh_cum,eff_inst,flags
1,2026-09-17T16:30:37.224,0.124,7.7114,7.71132,0.190947,1.47245342004,0.0,0.4159,0.4159,2.72958969,1.135236352071,0.0,0.0,0.7709828620861642,
2,2026-09-17T16:30:39.304,2.204,7.7114,6.08238,0.179398,1.09116680724,0.0,0.31885,0.31885,2.72316032,0.868279668032,0.00021225652923186623,0.0005787810230520649,0.7957350446062675,
3,2026-09-17T16:30:41.265,4.165,7.7114,6.08161,0.179419,1.09115638459,0.0,0.31834,0.31834,2.72820885,0.8684980053090001,0.0003857672559589148,0.0010517161856640166,0.7959427425568669,
4,2026-09-17T16:30:43.344,6.244,7.7114,6.0811,0.179438,1.0911804217999999,0.0,0.31791,0.31791,2.73279834,0.8687839202694001,0.0005695082084871001,0.0015534212321328183,0.7961872325717347,
5,2026-09-17T16:30:45.260,8.16,7.7114,6.08065,0.179453,1.09119088445,0.0,0.31753,0.31753,2.73670588,0.8689862180764,0.0007386011298129956,0.0020158482579508293,0.7963649902687747,
6,2026-09-17T16:30:47.282,10.182,7.7114,6.08302,0.179423,1.09143369746,0.0,0.19537,0.19537,2.72057015,0.5315177902054999,0.0008826726175940699,0.0024092440390319977,0.4869904525052284,
7,2026-09-17T16:30:49.304,12.204,7.7114,6.08025,0.179461,1.0911677452500002,0.0,0.29842,0.29842,2.73998952,0.8176676725584,0.001021298304634293,0.0027880118587940966,0.7493510288567613,
8,2026-09-17T16:30:51.271,14.171,7.7114,6.08275,0.179402,1.0912575155,0.0,0.18661,0.18661,2.7277899,0.5090328732389999,0.0011538444817473493,0.0031505648668951427,0.46646448341367686,
9,2026-09-17T16:30:53.248,16.148,7.7114,6.08236,0.179406,1.0912118781600002,-1e-05,0.18406,0.18406,2.7258146,0.501713435276,0.0012556219414336816,0.0034280925644913727,0.45977636911539893,
10,2026-09-17T16:30:55.261,18.161,7.7114,6.07926,0.17943,1.0908016218,0.0,0.30469,0.30469,2.74696367,0.8369723606123001,0.00139224170554479,0.003802293971454341,0.7673002532130082,
11,2026-09-17T16:30:57.283,20.182,7.7114,6.0787,0.179501,1.0911327287,0.0,0.31593,0.31593,2.75157844,0.8693061765492,0.0015665095809035833,0.0042814108794519,0.7967006704902994,
12,2026-09-17T16:30:59.233,22.133,7.7114,6.07846,0.179506,1.09112004076,0.0,0.31563,0.31563,2.75503848,0.8695727954424001,0.001737592407621278,0.0047524545330212865,0.7969542882162762,
13,2026-09-17T16:31:01.318,24.218,7.7114,6.07793,0.179518,1.09109783774,0.0,0.31531,0.31531,2.75823575,0.8696993143324999,0.0019203234090122913,0.00525617744535943,0.7970864612232349,
