sample,t_iso,elapsed_s,v1_set,v1,i1,p_in_w,v2,i2_raw,i_chg,v_bat,p_bat_w,ah_cum,wh_cum,eff_inst,flags
1,2026-09-15T13:51:43.326,0.119,7.7114,7.71136,0.187053,1.44243302208,0.0,0.42507,0.42507,2.66210034,1.1315789915238,0.0,0.0,0.7844932653386248,
2,2026-09-15T13:51:45.390,2.183,7.7114,6.08791,0.179279,1.0914344168899999,0.0,0.33451,0.33451,2.65609835,0.8884914590585,0.00021768186480270488,0.0005789155885036407,0.8140584952325601,
3,2026-09-15T13:51:47.404,4.197,7.7114,6.08722,0.179288,1.0913654993600002,0.0,0.3338,0.3338,2.66254668,0.8887580817840001,0.0004046268681274519,0.0010760620045705952,0.814354203339932,
4,2026-09-15T13:51:49.410,6.203,7.7114,6.08659,0.179292,1.09127689428,0.0,0.33321,0.33321,2.66818367,0.8890654806807,0.0005905064938157796,0.001571498622208753,0.8147020113234281,
5,2026-09-15T13:51:51.357,8.15,7.7114,6.08755,0.179292,1.0914490146,0.0,0.27345,0.27345,2.66292143,0.7281758650335001,0.0007545630959163108,0.0020088426369029183,0.6671643432656044,
6,2026-09-15T13:51:53.446,10.239,7.7114,6.0868,0.179294,1.0913267192,0.0,0.29075,0.29075,2.67176224,0.77681487128,0.0009182651729010873,0.002445514223888682,0.7118078001878725,
7,2026-09-15T13:51:55.362,12.155,7.7114,6.08523,0.179282,1.09097220486,0.0,0.32028,0.32028,2.6775647,0.857570422116,0.001080845568035046,0.0028803848633032004,0.7860607431571078,
8,2026-09-15T13:51:57.386,14.179,7.7114,6.08825,0.17926,1.091379695,0.0,0.2004,0.2004,2.66042156,0.533148480624,0.0012272017029702662,0.0032712972152014424,0.48850870422690057,
9,2026-09-15T13:51:59.406,16.199,7.7114,6.08472,0.179339,1.09122760008,0.0,0.31964,0.31964,2.6707732,0.853685945648,0.0013731116972386837,0.003660407674374951,0.7823170396216286,
10,2026-09-15T13:52:01.418,18.211,7.7114,6.08393,0.179364,1.0912380205199999,0.0,0.33101,0.33101,2.68970686,0.8903198677286001,0.0015549397519532175,0.004147780585244245,0.8158805420877311,
11,2026-09-15T13:52:03.376,20.169,7.7114,6.08344,0.17937,1.0911866328000002,0.0,0.33057,0.33057,2.6942199,0.8906282723429999,0.00173488307220704,0.004632181143792498,0.8162015970243653,
12,2026-09-15T13:52:05.368,22.161,7.7114,6.08307,0.17939,1.0912419273,0.0,0.33021,0.33021,2.69829299,0.8910033282279001,0.0019177001069880192,0.0051251025492352505,0.81650393550444,
13,2026-09-15T13:52:07.414,24.207,7.7114,6.08258,0.179403,1.0912330997400002,0.0,0.32986,0.32986,2.7023432,0.8913949279519999,0.002105249737236897,0.005631546008115043,0.8168694004648372,
14,2026-09-15T13:52:09.401,26.194,7.7114,6.08227,0.179412,1.09123222524,0.0,0.32972,0.32972,2.70610928,0.8922583518016001,0.002287238036986192,0.0061236834709317,0.8176612925863341,
15,2026-09-15T13:52:11.436,28.229,7.7114,6.08207,0.17942,1.0912449994,0.0,0.32937,0.32937,2.70978447,0.8925217108838999,0.002473578927495082,0.006628284521233372,0.8178930591889408,
16,2026-09-15T13:52:13.367,30.16,7.7114,6.08177,0.179428,1.09123982756,0.0,0.32905,0.32905,2.71316558,0.8927671340990001,0.0026501098347942033,0.007106943522472447,0.818121838620221,
17,2026-09-15T13:52:15.372,32.165,7.7114,6.08147,0.179431,1.09120424357,0.0,0.32874,0.32874,2.7165127,0.8930263849979999,0.00283333877861268,0.007604380486217752,0.8183860998160725,
18,2026-09-15T13:52:17.394,34.187,7.7114,6.08095,0.179438,1.0911535061,0.0,0.32843,0.32843,2.71983728,0.8932761578704,0.0030178587737229134,0.008105937977392752,0.8186530610740069,
19,2026-09-15T13:52:19.415,36.208,7.7114,6.08062,0.179451,1.0911733396199998,0.0,0.32817,0.32817,2.72338933,0.8937346764260999,0.0032021586065305602,0.008607530724858939,0.8190583878610361,
20,2026-09-15T13:52:21.430,38.223,7.7114,6.08039,0.179469,1.09124151291,0.0,0.33024,0.33024,2.72664525,0.9004473273599999,0.003386414208640986,0.00910963136944711,0.8251586076108747,
21,2026-09-15T13:52:23.457,40.25,7.7114,6.07989,0.17947,1.0911578583,0.0,0.32992,0.32992,2.72968029,0.9005761212768,0.0035722820315529902,0.009616708907334277,0.8253399033205681,
22,2026-09-15T13:52:25.479,42.272,7.7114,6.07972,0.179479,1.09118206588,0.0,0.32966,0.32966,2.73264548,0.9008439089368,0.0037575043690651656,0.010122581172772005,0.825567003990577,
23,2026-09-15T13:52:27.404,44.197,7.7114,6.07963,0.17948,1.0911719924,0.0,0.32939,0.32939,2.73547344,0.9010375964016,0.0039337175217039055,0.01060435830764359,0.8257521295243244,
24,2026-09-15T13:52:29.430,46.223,7.7114,6.0794,0.179489,1.0911854266,0.0,0.32913,0.32913,2.73831941,0.9012630674132999,0.004118993094096581,0.011111438255271612,0.8259485926434382,
25,2026-09-15T13:52:31.355,48.148,7.7114,6.07889,0.179502,1.09117291278,0.0,0.32889,0.32889,2.74095204,0.9014717164356,0.0042949351871232186,0.011593455414388812,0.8261492801712838,
26,2026-09-15T13:52:33.463,50.256,7.7114,6.07875,0.179501,1.09114170375,0.0,0.32862,0.32862,2.74370714,0.9016370403468001,0.004487459864813088,0.012121421425916112,0.8263244244520062,
27,2026-09-15T13:52:35.417,52.21,7.7114,6.07859,0.179521,1.09123455539,0.0,0.32842,0.32842,2.74631291,0.9019440859022,0.00466578753613962,0.012610932600718966,0.8265354881287196,
28,2026-09-15T13:52:37.342,54.135,7.7114,6.07827,0.179518,1.09115887386,0.0,0.32818,0.32818,2.74874065,0.902081706517,0.0048413224221024245,0.013093219322842423,0.8267189390357657,
29,2026-09-15T13:52:39.363,56.156,7.7114,6.07783,0.179529,1.0911467420699998,0.0,0.32794,0.32794,2.75126215,0.902248909471,0.00502547792146537,0.013599647118982034,0.8268813668080571,
30,2026-09-15T13:52:41.395,58.188,7.7114,6.07776,0.179529,1.0911341750399999,0.0,0.32771,0.32771,2.75372655,0.9024237277005001,0.005210552294576499,0.014109063205301446,0.8270511073190592,
31,2026-09-15T13:52:43.400,60.193,7.7114,6.07756,0.179538,1.09115296728,0.0,0.32751,0.32751,2.75611353,0.9026547422103001,0.005392965553817152,0.01461159708229171,0.8272485795098153,
32,2026-09-15T13:52:45.407,62.2,7.7114,6.07749,0.17954,1.0911525546,0.0,0.32728,0.32728,2.75844189,0.9027828617592,0.005575502747461199,0.015114902742927983,0.8273663090951993,
33,2026-09-15T13:52:47.411,64.204,7.7114,6.07716,0.179537,1.09107507492,0.0,0.32706,0.32706,2.7606739,0.902906005734,0.005757590801183713,0.01561738520084015,0.8275379270305511,
34,2026-09-15T13:52:49.426,66.219,7.7114,6.07719,0.179558,1.0912080820199999,0.0,0.32691,0.32691,2.76297214,0.9032432222874,0.0059406805105590155,0.016123046526660696,0.8277460891009467,
35,2026-09-15T13:52:51.458,68.251,7.7114,6.07682,0.179549,1.09108695418,0.0,0.32665,0.32665,2.76518344,0.903247170676,0.006125107532455855,0.01663281708064119,0.8278416007226759,
36,2026-09-15T13:52:53.409,70.203,7.7114,6.07642,0.179558,1.09106982236,0.0,0.32647,0.32647,2.76728897,0.9034368300359,0.006302116829752591,0.017122466556087155,0.828028428173142,
37,2026-09-15T13:52:55.394,72.187,7.7114,6.07635,0.17957,1.0911301695,0.0,0.3263,0.3263,2.76933621,0.903634405323,0.006482026957440046,0.017620513979672407,0.8281637063862709,
38,2026-09-15T13:52:57.415,74.208,7.7114,6.07625,0.17957,1.0911122125000001,0.0,0.3261,0.3261,2.77144782,0.903769134102,0.006665192791866926,0.018127955085504528,0.8283008142959447,
39,2026-09-15T13:52:59.358,76.151,7.7114,6.0761,0.179578,1.0911338858,0.0,0.32594,0.32594,2.77344088,0.9039753204272,0.006841119484722284,0.018615702008105802,0.8284733268680602,
40,2026-09-15T13:53:01.370,78.163,7.7114,6.07579,0.179579,1.09108429241,0.0,0.32573,0.32573,2.77544567,0.9040459180891001,0.007023191691987052,0.01912085096030284,0.8285756878528906,
41,2026-09-15T13:53:03.380,80.173,7.7114,6.07532,0.179587,1.09104849284,0.0,0.32553,0.32553,2.77740743,0.9041294406878999,0.007205015943071909,0.019625672583678637,0.8286794277442705,
42,2026-09-15T13:53:05.423,82.216,7.7114,6.07516,0.179591,1.0910440595600002,0.0,0.32537,0.32537,2.77940344,0.9043344972727999,0.0073897381080008226,0.020138905605365482,0.8288707402316117,
