sample,t_iso,elapsed_s,v1_set,v1,i1,p_in_w,v2,i2_raw,i_chg,v_bat,p_bat_w,ah_cum,wh_cum,eff_inst,flags
1,2026-09-15T13:51:43.326,0.326,7.7114,7.71136,0.187053,1.44243302208,0.0,0.42507,0.42507,2.66210034,1.1315789915238,0.000000,0.000000,0.7844932653386248,
2,2026-09-15T13:51:45.390,2.390,7.7114,6.08791,0.179279,1.0914344168899999,0.0,0.33451,0.33451,2.65609835,0.8884914590585,0.000218,0.000579,0.8140584952325601,
3,2026-09-15T13:51:47.404,4.404,7.7114,6.08722,0.179288,1.0913654993600002,0.0,0.3338,0.3338,2.66254668,0.8887580817840001,0.000405,0.001076,0.814354203339932,
4,2026-09-15T13:51:49.410,6.410,7.7114,6.08659,0.179292,1.09127689428,0.0,0.33321,0.33321,2.66818367,0.8890654806807,0.000591,0.001571,0.8147020113234281,
5,2026-09-15T13:51:51.357,8.357,7.7114,6.08755,0.179292,1.0914490146,0.0,0.27345,0.27345,2.66292143,0.7281758650335001,0.000755,0.002009,0.6671643432656044,
6,2026-09-15T13:51:53.446,10.446,7.7114,6.0868,0.179294,1.0913267192,0.0,0.29075,0.29075,2.67176224,0.77681487128,0.000918,0.002446,0.7118078001878725,
7,2026-09-15T13:51:55.362,12.362,7.7114,6.08523,0.179282,1.09097220486,0.0,0.32028,0.32028,2.6775647,0.857570422116,0.001081,0.002880,0.7860607431571078,
8,2026-09-15T13:51:57.386,14.386,7.7114,6.08825,0.17926,1.091379695,0.0,0.2004,0.2004,2.66042156,0.533148480624,0.001227,0.003271,0.48850870422690057,
9,2026-09-15T13:51:59.406,16.406,7.7114,6.08472,0.179339,1.09122760008,0.0,0.31964,0.31964,2.6707732,0.853685945648,0.001373,0.003660,0.7823170396216286,
10,2026-09-15T13:52:01.418,18.418,7.7114,6.08393,0.179364,1.0912380205199999,0.0,0.33101,0.33101,2.68970686,0.8903198677286001,0.001555,0.004148,0.8158805420877311,
11,2026-09-15T13:52:03.376,20.376,7.7114,6.08344,0.17937,1.0911866328000002,0.0,0.33057,0.33057,2.6942199,0.8906282723429999,0.001735,0.004632,0.8162015970243653,
12,2026-09-15T13:52:05.368,22.368,7.7114,6.08307,0.17939,1.0912419273,0.0,0.33021,0.33021,2.69829299,0.8910033282279001,0.001918,0.005125,0.81650393550444,
13,2026-09-15T13:52:07.414,24.414,7.7114,6.08258,0.179403,1.0912330997400002,0.0,0.32986,0.32986,2.7023432,0.8913949279519999,0.002105,0.005632,0.8168694004648372,
14,2026-09-15T13:52:09.401,26.401,7.7114,6.08227,0.179412,1.09123222524,0.0,0.32972,0.32972,2.70610928,0.8922583518016001,0.002287,0.006124,0.8176612925863341,
15,2026-09-15T13:52:11.436,28.436,7.7114,6.08207,0.17942,1.0912449994,0.0,0.32937,0.32937,2.70978447,0.8925217108838999,0.002474,0.006628,0.8178930591889408,
16,2026-09-15T13:52:13.367,30.367,7.7114,6.08177,0.179428,1.09123982756,0.0,0.32905,0.32905,2.71316558,0.8927671340990001,0.002650,0.007107,0.818121838620221,
17,2026-09-15T13:52:15.372,32.372,7.7114,6.08147,0.179431,1.09120424357,0.0,0.32874,0.32874,2.7165127,0.8930263849979999,0.002833,0.007604,0.8183860998160725,
18,2026-09-15T13:52:17.394,34.394,7.7114,6.08095,0.179438,1.0911535061,0.0,0.32843,0.32843,2.71983728,0.8932761578704,0.003018,0.008106,0.8186530610740069,
19,2026-09-15T13:52:19.415,36.415,7.7114,6.08062,0.179451,1.0911733396199998,0.0,0.32817,0.32817,2.72338933,0.8937346764260999,0.003202,0.008608,0.8190583878610361,
