sample,t_iso,elapsed_s,v1_set,v1,i1,p_in_w,v2,i2_raw,i_chg,v_bat,p_bat_w,ah_cum,wh_cum,eff_inst,flags
1,2026-09-15T19:13:41.263,0.122,7.7114,6.08327,0.212821,1.29464760467,0.0,0.31964,0.31964,3.37589353,1.0790706079291998,0.0,0.0,0.8334859648577887,
2,2026-09-15T19:13:43.291,2.15,7.7114,6.03911,0.180584,1.09056664024,0.0,0.27157,0.27157,3.36823917,0.9147127113968999,0.00016651719008982182,0.0005615588301654912,0.8387499467209082,
3,2026-09-15T19:13:45.360,4.219,7.7114,6.03868,0.180591,1.09053125988,0.0,0.27151,0.27151,3.3690455,0.9147295437049999,0.0003225952281438642,0.0010873299097660426,0.8387925934426262,
4,2026-09-15T19:13:47.305,6.163,7.7114,6.03851,0.180588,1.0904824438799998,0.0,0.27141,0.27141,3.36967753,0.9145641784173,0.0004691961952570412,0.0015812815578858251,0.8386784982647016,
5,2026-09-15T19:13:49.358,8.217,7.7114,6.03952,0.180601,1.0907433515200002,-2e-05,0.2144,0.2144,3.36005541,0.7203958799040001,0.0006077717514336109,0.0020476480373908808,0.6604632326203005,
6,2026-09-15T19:13:51.327,10.185,7.7114,6.04039,0.180556,1.09062865684,-1e-05,0.17308,0.17308,3.35848311,0.5812862566788001,0.0007136951372921467,0.002403482091325079,0.5329827462658331,
7,2026-09-15T19:13:53.331,12.19,7.7114,6.03905,0.180558,1.0903987898999998,0.0,0.21833,0.21833,3.36242618,0.7341185078793999,0.0008226756121546031,0.0027697308736195792,0.6732568989247739,
8,2026-09-15T19:13:55.300,14.158,7.7114,6.03997,0.180546,1.0904924236200002,0.0,0.16529,0.16529,3.34843452,0.5534627418108,0.0009275499582413171,0.00312173087777675,0.5075346970073614,
9,2026-09-15T19:13:57.379,16.238,7.7114,6.03803,0.180578,1.0903353813399999,0.0,0.26235,0.26235,3.36906771,0.8838749137185,0.0010510501391732031,0.003536826426645147,0.8106449894639169,
10,2026-09-15T19:13:59.302,18.161,7.7114,6.03885,0.180567,1.09041702795,0.0,0.22095,0.22095,3.35609041,0.7415281760895001,0.001180116749151879,0.003970894845123077,0.680040899107733,
11,2026-09-15T19:14:01.319,20.178,7.7114,6.03773,0.180609,1.09046837757,0.0,0.27117,0.27117,3.37175032,0.9143175342744,0.0013180215709530645,0.004434905874176949,0.838463134815395,
12,2026-09-15T19:14:03.336,22.195,7.7114,6.0379,0.180618,1.0905534222,0.0,0.27115,0.27115,3.37214704,0.9143576698960001,0.0014699171284731892,0.004947089897743645,0.8384345519281798,
13,2026-09-15T19:14:05.358,24.217,7.7114,6.038,0.18061,1.09052318,0.0,0.27113,0.27113,3.3724862,0.914382183406,0.0016222020290510523,0.00546064279798498,0.8384802819193629,
14,2026-09-15T19:14:07.371,26.23,7.7114,6.03771,0.180613,1.09048891623,0.0,0.27146,0.27146,3.37286002,0.9155965810291999,0.0017739157939804925,0.005972323750625813,0.839620254183388,
15,2026-09-15T19:14:09.397,28.256,7.7114,6.03772,0.180608,1.09046053376,0.0,0.27144,0.27144,3.3731381,0.9156046058639999,0.0019267129783584012,0.0064877085091205,0.8396494669155223,
16,2026-09-15T19:14:11.317,30.176,7.7114,6.03775,0.180618,1.0905263295,0.0,0.27149,0.27149,3.37339393,0.9158427180557001,0.0020714898228406907,0.006976079320077028,0.8398171536817535,
17,2026-09-15T19:14:13.330,32.189,7.7114,6.03768,0.180616,1.09050161088,0.0,0.27144,0.27144,3.37363322,0.9157390012368,0.002223229582203428,0.007487975456482518,0.8397410807103969,
