nohup: ignoring input
Panel curve /home/ian/src/embedded-mcp/Logs/bench/panel-iv-2026-08-24_145423.json: Voc 7.711 V, Isc 0.1935 A, MPP 1.0981 W @ 6.249 V / 0.1757 A (140 points) -- CH1 follows this curve (alpha 0.4, tick 0.0 s)
DMM: Keysight Technologies,34461A,MY53222530,A.02.14-02.40-02.14-00.49-01-01
Resting V_bat: 3.3160 V
CH2 series ammeter: 0.000 V source, range 3.0 A, compliance +/-3.0 A | CH1 solar: curve follower from Voc 7.711 V, +0.2128/-0.01 A
CH1 on: 7.7127 V (set 7.7114 V; sag under load is panel behavior)
waiting 3.0 s for the board to boot from solar...
CH2 on: 0.0 V across the ammeter (0 near-zero = healthy loop; boot-loop transients are expected and bounded by compliance)
========================================================================
FIRST SAMPLE: i_chg = +0.3196 A (i2_raw +0.3196 A, --sign +1) -- if this is negative while the battery is charging, rerun with --sign -1
========================================================================
[0:00:00] #1 V_bat=3.3759 V i_chg=+0.3196 A P_in=1.295 W Ah=0.0000 Wh=0.0000 eff=83.3% flags=-
[0:00:58] #30 V_bat=3.3764 V i_chg=+0.2737 A P_in=1.090 W Ah=0.0042 Wh=0.0141 eff=84.8% flags=-
[0:01:58] #60 V_bat=3.3789 V i_chg=+0.2736 A P_in=1.091 W Ah=0.0088 Wh=0.0295 eff=84.8% flags=-
[0:02:58] #90 V_bat=3.3800 V i_chg=+0.2735 A P_in=1.090 W Ah=0.0133 Wh=0.0450 eff=84.8% flags=-
[0:03:58] #120 V_bat=3.3806 V i_chg=+0.2735 A P_in=1.090 W Ah=0.0179 Wh=0.0604 eff=84.8% flags=-
[0:04:58] #150 V_bat=3.3810 V i_chg=+0.2735 A P_in=1.090 W Ah=0.0224 Wh=0.0758 eff=84.8% flags=-
[0:05:58] #180 V_bat=3.3825 V i_chg=+0.2788 A P_in=1.090 W Ah=0.0270 Wh=0.0914 eff=86.5% flags=-
[0:06:58] #210 V_bat=3.3828 V i_chg=+0.2787 A P_in=1.090 W Ah=0.0317 Wh=0.1071 eff=86.5% flags=-
[0:07:58] #240 V_bat=3.3830 V i_chg=+0.2787 A P_in=1.090 W Ah=0.0363 Wh=0.1229 eff=86.5% flags=-
[0:08:58] #270 V_bat=3.3832 V i_chg=+0.2787 A P_in=1.090 W Ah=0.0410 Wh=0.1386 eff=86.5% flags=-
[0:09:58] #300 V_bat=3.3834 V i_chg=+0.2787 A P_in=1.090 W Ah=0.0456 Wh=0.1542 eff=86.5% flags=-
[0:10:00] CC->CV transition ESTIMATE (heuristic: i_chg below 90% of its max after 10 min): i_chg 0.2787 A, V_bat 3.3834 V
[0:10:00] #301 V_bat=3.3834 V i_chg=+0.2787 A P_in=1.090 W Ah=0.0458 Wh=0.1548 eff=86.5% flags=CC_TO_CV_EST
[0:10:58] #330 V_bat=3.3835 V i_chg=+0.2787 A P_in=1.090 W Ah=0.0503 Wh=0.1700 eff=86.5% flags=-
[0:11:58] #360 V_bat=3.3837 V i_chg=+0.2787 A P_in=1.091 W Ah=0.0549 Wh=0.1857 eff=86.5% flags=-
[0:12:58] #390 V_bat=3.3838 V i_chg=+0.2787 A P_in=1.090 W Ah=0.0596 Wh=0.2014 eff=86.5% flags=-
[0:13:58] #420 V_bat=3.3839 V i_chg=+0.2787 A P_in=1.090 W Ah=0.0642 Wh=0.2171 eff=86.5% flags=-
[0:14:58] #450 V_bat=3.3840 V i_chg=+0.2787 A P_in=1.091 W Ah=0.0689 Wh=0.2328 eff=86.5% flags=-
[0:15:58] #480 V_bat=3.3841 V i_chg=+0.2787 A P_in=1.090 W Ah=0.0735 Wh=0.2486 eff=86.5% flags=-
[0:16:58] #510 V_bat=3.3843 V i_chg=+0.2786 A P_in=1.090 W Ah=0.0781 Wh=0.2643 eff=86.5% flags=-
[0:17:58] #540 V_bat=3.3844 V i_chg=+0.2787 A P_in=1.091 W Ah=0.0828 Wh=0.2800 eff=86.5% flags=-
[0:18:58] #570 V_bat=3.3845 V i_chg=+0.2786 A P_in=1.091 W Ah=0.0874 Wh=0.2957 eff=86.5% flags=-
[0:19:58] #600 V_bat=3.3846 V i_chg=+0.2786 A P_in=1.090 W Ah=0.0921 Wh=0.3114 eff=86.5% flags=-
[0:20:58] #630 V_bat=3.3847 V i_chg=+0.2786 A P_in=1.090 W Ah=0.0967 Wh=0.3271 eff=86.5% flags=-
[0:21:58] #660 V_bat=3.3848 V i_chg=+0.2786 A P_in=1.090 W Ah=0.1014 Wh=0.3429 eff=86.5% flags=-
[0:22:58] #690 V_bat=3.3849 V i_chg=+0.2786 A P_in=1.090 W Ah=0.1060 Wh=0.3586 eff=86.5% flags=-
[0:23:58] #720 V_bat=3.3850 V i_chg=+0.2786 A P_in=1.090 W Ah=0.1107 Wh=0.3743 eff=86.5% flags=-
[0:24:58] #750 V_bat=3.3851 V i_chg=+0.2786 A P_in=1.090 W Ah=0.1153 Wh=0.3900 eff=86.5% flags=-
[0:25:58] #780 V_bat=3.3852 V i_chg=+0.2786 A P_in=1.091 W Ah=0.1199 Wh=0.4057 eff=86.5% flags=-
[0:26:58] #810 V_bat=3.3853 V i_chg=+0.2786 A P_in=1.090 W Ah=0.1246 Wh=0.4215 eff=86.5% flags=-
