0000 - *CLS             *CLS          :*CLS
0001 - *ESE             *ESE          :*ESE
0002 - *ESE?            *ESE?         :*ESE?
0003 - *ESR?            *ESR?         :*ESR?
0004 - *IDN?            *IDN?         :*IDN?
0005 - *OPC             *OPC          :*OPC
0006 - *OPC?            *OPC?         :*OPC?
0007 - *RST             *RST          :*RST
0008 - *SRE             *SRE          :*SRE
0009 - *SRE?            *SRE?         :*SRE?
000A - *STB?            *STB?         :*STB?
000B - *TST?            *TST?         :*TST?
000C - *WAI             *WAI          :*WAI
000D - *TRG             *TRG          :*TRG
000E - *PSC             *PSC          :*PSC
000F - *PSC?            *PSC?         :*PSC?
0010 - CONDition?       COND?         :STATus:QUEStionable:CONDition?
0011 - ENABle           ENAB          :STATus:QUEStionable:ENABle
0012 - ENABle?          ENAB?         :STATus:QUEStionable:ENABle?
0013 - EVENt?           EVEN?         :STATus:QUEStionable[:EVENt]?
0014 - PRESet           PRES          :STATus:PRESet
0015 - CONDition?       COND?         :STATus:OPERation:CONDition?
0016 - ENABle           ENAB          :STATus:OPERation:ENABle
0017 - ENABle?          ENAB?         :STATus:OPERation:ENABle?
0018 - EVENt?           EVEN?         :STATus:OPERation[:EVENt]?
0019 - IDNSet           IDNS          :IDNSet
001A - IDNSet?          IDNS?         :IDNSet?
001B - DEFine           DEF           :USER:IDN:DEFine
001C - DEFine?          DEF?          :USER:IDN:DEFine?
001D - CMDSet?          CMDS?         :CMDSet?
001E - CMDSet           CMDS          :CMDSet
001F - AVERage?         AVER?         :CALCulate:AVERage:AVERage?
0020 - CLEar            CLE           :CALCulate:AVERage:CLEar
0021 - COUNt?           COUN?         :CALCulate:AVERage:COUNt?
0022 - MAXimum?         MAX?          :CALCulate:AVERage:MAXimum?
0023 - MINimum?         MIN?          :CALCulate:AVERage:MINimum?
0024 - PTPeak?          PTP?          :CALCulate:AVERage:PTPeak?
0025 - SDEViation?      SDEV?         :CALCulate:AVERage:SDEViation?
0026 - REFerence?       REF?          :CALCulate:DB:REFerence?
0027 - REFerence        REF           :CALCulate:DB:REFerence
0028 - REFerence?       REF?          :CALCulate:DBM:REFerence?
0029 - REFerence        REF           :CALCulate:DBM:REFerence
