0000 - *CLS           *CLS       :*CLS
0001 - *ESE           *ESE       :*ESE
0002 - *ESE?          *ESE?      :*ESE?
0003 - *ESR?          *ESR?      :*ESR?
0004 - *IDN?          *IDN?      :*IDN?
0005 - *OPC           *OPC       :*OPC
0006 - *OPC?          *OPC?      :*OPC?
0007 - *RST           *RST       :*RST
0008 - *SRE           *SRE       :*SRE
0009 - *SRE?          *SRE?      :*SRE?
000A - *STB?          *STB?      :*STB?
000B - *TST?          *TST?      :*TST?
000C - *WAI           *WAI       :*WAI
000D - AUToscale      AUT        :AUToscale
000E - RUN            RUN        :RUN
000F - SINGle         SING       :SINGle
0010 - STOP           STOP       :STOP
0011 - TFORce         TFOR       :TFORce
0012 - TLHAlf         TLHA       :TLHAlf
0013 - CLEar          CLE        :CLEar
0014 - AVERages       AVER       :ACQuire:AVERages
0015 - AVERages?      AVER?      :ACQuire:AVERages?
0016 - SRATe?         SRAT?      :ACQuire:SRATe?
0017 - TYPE           TYPE       :ACQuire:TYPE
0018 - TYPE?          TYPE?      :ACQuire:TYPE?
0019 - MDEPth         MDEP       :ACQuire:MDEPth
001A - MDEPth?        MDEP?      :ACQuire:MDEPth?
001B - MODE?          MODE?      :ACQuire:MODE?
001C - AALias         AAL        :ACQuire:AALias
001D - AALias?        AAL?       :ACQuire:AALias?
001E - ENABle         ENAB       :TIMebase:DELay:ENABle
001F - ENABle?        ENAB?      :TIMebase:DELay:ENABle?
0020 - OFFSet         OFFS       :TIMebase:DELay:OFFSet
0021 - OFFSet?        OFFS?      :TIMebase:DELay:OFFSet?
0022 - SCALe          SCAL       :TIMebase:DELay:SCALe
0023 - SCALe?         SCAL?      :TIMebase:DELay:SCALe?
0024 - OFFSet         OFFS       :TIMebase[:MAIN]:OFFSet
0025 - OFFSet?        OFFS?      :TIMebase[:MAIN]:OFFSet?
0026 - SCALe          SCAL       :TIMebase[:MAIN]:SCALe
0027 - SCALe?         SCAL?      :TIMebase[:MAIN]:SCALe?
0028 - MODE           MODE       :TIMebase:MODE
0029 - MODE?          MODE?      :TIMebase:MODE?
002A - VERNier        VERN       :TIMebase:VERNier
002B - VERNier?       VERN?      :TIMebase:VERNier?
